Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_1	NA	NA			gt.2	p53_i1
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_2	NA	NA			gt.2	p53_i2
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_0	NA	NA			gt.2	p53_i0
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_1	NA	NA			gt.2	p53_i1
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_2	NA	NA			gt.2	p53_i2
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_0	NA	NA			lt.3	p53_i0
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_1	NA	NA			lt.3	p53_i1
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_2	NA	NA			lt.3	p53_i2
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_0	NA	NA			lt.10%	p53_i0
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_1	NA	NA			lt.10%	p53_i1
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_2	NA	NA			lt.10%	p53_i2
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_0	NA	NA			gt.3	p53_i0
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_1	NA	NA			gt.3	p53_i1
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_2	NA	NA			gt.3	p53_i2
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_0	NA	NA			equal to ""2 3""	p53_i0
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_1	NA	NA			equal to ""2 3""	p53_i1
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_2	NA	NA			equal to ""2 3""	p53_i2
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_0	NA	NA			1	p53_i0
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_1	NA	NA			1	p53_i1
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_2	NA	NA			1	p53_i2
6373	Number of puzzles correctly solved	74092	83157	p6373_Date_first_reported_lt.10._Number_of_puzzles_correctly_solved__Instance_2	NA	NA			lt.10%	p53_i2
20002	Non-cancer illness code	self-reported	397076	1376249	NA	NA				
20016	Fluid intelligence score	229668	280529	p20016_Date_first_reported_lt.10._Fluid_intelligence_score__Instance_0	NA	NA			lt.10%	p53_i0
20016	Fluid intelligence score	229668	280529	p20016_Date_first_reported_lt.10._Fluid_intelligence_score__Instance_1	NA	NA			lt.10%	p53_i1
20016	Fluid intelligence score	229668	280529	p20016_Date_first_reported_lt.10._Fluid_intelligence_score__Instance_2	NA	NA			lt.10%	p53_i2
20018	Prospective memory result	236375	288100	p20018_Date_first_reported_lt.10._Prospective_memory_result__Instance_0	NA	NA			lt.10%	p53_i0
20018	Prospective memory result	236375	288100	p20018_Date_first_reported_lt.10._Prospective_memory_result__Instance_1	NA	NA			lt.10%	p53_i1
20018	Prospective memory result	236375	288100	p20018_Date_first_reported_lt.10._Prospective_memory_result__Instance_2	NA	NA			lt.10%	p53_i2
20023	Mean time to correctly identify matches	496582	612444	p20023_Date_first_reported_lt.10._Mean_time_to_correctly_identify_matches__Instance_0	NA	NA			lt.10%	p53_i0
20023	Mean time to correctly identify matches	496582	612444	p20023_Date_first_reported_lt.10._Mean_time_to_correctly_identify_matches__Instance_1	NA	NA			lt.10%	p53_i1
20023	Mean time to correctly identify matches	496582	612444	p20023_Date_first_reported_lt.10._Mean_time_to_correctly_identify_matches__Instance_2	NA	NA			lt.10%	p53_i2
20116	Smoking status	501292	624061	p20116_Date_first_reported_gt.1_Smoking_status_._Instance_0	NA	NA			gt.1	p53_i0
20116	Smoking status	501292	624061	p20116_Date_first_reported_gt.1_Smoking_status_._Instance_1	NA	NA			gt.1	p53_i1
20116	Smoking status	501292	624061	p20116_Date_first_reported_gt.1_Smoking_status_._Instance_2	NA	NA			gt.1	p53_i2
20117	Alcohol drinker status	501286	624055	p20117_Date_first_reported_gt.1_Alcohol_drinker_status_._Instance_0	NA	NA			gt.1	p53_i0
20117	Alcohol drinker status	501286	624055	p20117_Date_first_reported_gt.1_Alcohol_drinker_status_._Instance_1	NA	NA			gt.1	p53_i1
20117	Alcohol drinker status	501286	624055	p20117_Date_first_reported_gt.1_Alcohol_drinker_status_._Instance_2	NA	NA			gt.1	p53_i2
20123	Single episode of probable major depression	9747	9747	p20123_Date_first_reported_1_Single_episode_of_probable_major_depression_._Instance_0	NA	NA			1	p53_i0
20124	Probable recurrent major depression (moderate)	15227	15227	p20124_Date_first_reported_1_Probable_recurrent_major_depression_moderate_._Instance_0	NA	NA			1	p53_i0
20125	Probable recurrent major depression (severe)	9389	9389	p20125_Date_first_reported_1_Probable_recurrent_major_depression_severe_._Instance_0	NA	NA			1	p53_i0
20126	Bipolar and major depression status	122892	122892	p20126_Date_first_reported_gt.1_Bipolar_and_major_depression_status_._Instance_0	NA	NA			gt.1	p53_i0
20127	Neuroticism score	401301	401301	p20127_Date_first_reported_gt.60._Neuroticism_score_._Instance_0	NA	NA			gt.60%	p53_i0
20132	Number of incorrect matches in round	118452	251856	p20132_Date_first_reported_gt.90.c._Instance_0_._Array_0	NA	NA			>=90 percentile	p20134_When_pairs_test_completed
20132	Number of incorrect matches in round	118452	251856	p20132_Date_first_reported_gt.90._a1_Number_of_incorrect_matches_in_round_._Instance_0_._Array_1	NA	NA			gt.90%	p20134_When_pairs_test_completed
20132	Number of incorrect matches in round	118452	251856	p20132_Date_first_reported_gt.90._a2_Number_of_incorrect_matches_in_round_._Instance_0_._Array_2	NA	NA			gt.90%	p20134_When_pairs_test_completed
20139	Number of letters correctly identified	32078	32078	p20139_Date_first_reported_lt.10._Number_of_letters_correctly_identified__Instance_2	NA	NA			lt.10%	p53_i2
20139	Number of letters correctly identified	32078	32078	p20139_Date_first_reported_Number_of_letters_correctly_identified__Instance_3	NA	NA				
20159	Number of symbol digit matches made correctly	207588	295588	p20159_Date_first_reported_lt.90._Number_of_symbol_digit_matches_made_correctly_._Instance_0	NA	NA			lt.90%	p20137_When_symbol_digit_substitution_test_completed
20159	Number of symbol digit matches made correctly	207588	295588	p20159_Date_first_reported_lt.90._Number_of_symbol_digit_matches_made_correctly_._Instance_1	NA	NA			lt.90%	p20137_When_symbol_digit_substitution_test_completed
20162	Pack years adult smoking as proportion of life span exposed to smoking	153624	180134	p20162_Date_first_reported_gt.1_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_0	NA	NA			gt.1	p53_i0
20162	Pack years adult smoking as proportion of life span exposed to smoking	153624	180134	p20162_Date_first_reported_gt.1_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_1	NA	NA			gt.1	p53_i1
20162	Pack years adult smoking as proportion of life span exposed to smoking	153624	180134	p20162_Date_first_reported_gt.1_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_2	NA	NA			gt.1	p53_i2
20162	Pack years adult smoking as proportion of life span exposed to smoking	153624	180134	p20162_Date_first_reported_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking	NA	NA				
20195	Number of symbol digit matches attempted	207588	295588	p20195_Date_first_reported_lt.90._Number_of_symbol_digit_matches_attempted_._Instance_0	NA	NA			lt.90%	p20137_When_symbol_digit_substitution_test_completed
20195	Number of symbol digit matches attempted	207588	295588	p20195_Date_first_reported_lt.90._Number_of_symbol_digit_matches_attempted_._Instance_1	NA	NA			lt.90%	p20137_When_symbol_digit_substitution_test_completed
20240	Maximum digits remembered correctly	110991	110991	p20240_Date_first_reported_lt.10._Maximum_digits_remembered_correctly_._Instance_0	NA	NA			lt.10%	p20138_When_numeric_memory_test_completed
20421	Ever felt worried tense or anxious for most of a month or longer	157235	157235	p20421_Ever_felt_worried._tense._or_anxious_for_most_of_a_month_or_longer_dated	NA	NA				
20760	Number of puzzles correctly solved	174581	174581	p20760_Date_first_reported_lt.10._Number_of_puzzles_correctly_solved_._Instance_1	NA	NA			lt.10%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a0_Duration_spent_answering_each_puzzle_._Instance_1_._Array_0	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a1_Duration_spent_answering_each_puzzle_._Instance_1_._Array_1	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a2_Duration_spent_answering_each_puzzle_._Instance_1_._Array_2	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
