Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
29117	Attempted suicide in past year	4107	4107	p29117_Attempted_suicide_in_past_year_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=203	p29117_Attempted_suicide_in_past_year	1	p29204_When_online_Harm_behaviours_questionnaire_completed
29151	Self-care problems today	169536	169536	p29151_Selfcare_problems_today_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=204	p29151_Selfcare_problems_today	1	p29206_When_online_General_health_questionnaire_completed
29153	Pain/discomfort today	169536	169536	p29153_Pain.discomfort_today_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=205	p29153_Pain.discomfort_today	1	p29206_When_online_General_health_questionnaire_completed
29154	Anxiety/depression today	169536	169536	p29154_Anxiety.depression_today_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=206	p29154_Anxiety.depression_today	1	p29206_When_online_General_health_questionnaire_completed
29155	Scale to indicate how health is today	169536	169536	p29155_Scale_to_indicate_how_health_is_today_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=207	p29155_Scale_to_indicate_how_health_is_today	1	p29206_When_online_General_health_questionnaire_completed
29169	Current situation	169319	216305	p29169_Current_situation_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=208	p29169_Current_situation	1	p20400_Date_of_completing_mental_health_questionnaire
29181	General happiness	169277	169277	p29181_General_happiness_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=209	p29181_General_happiness	gt:5	p29209_When_online_General_well-being_questionnaire_completed
29182	Belief that own life is meaningful	169277	169277	p29182_Belief_that_own_life_is_meaningful_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=210	p29182_Belief_that_own_life_is_meaningful	1	p29209_When_online_General_well-being_questionnaire_completed
30426	Tiredness after waking	185025	185025	p30426_Tiredness_after_waking_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=211	p30426_Tiredness_after_waking	1	p30489_When_online_sleep_behaviour_questionnaire_completed
30467	Overall quality of sleep in past month	182214	182214	p30467_Overall_quality_of_sleep_in_past_month_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=212	p30467_Overall_quality_of_sleep_in_past_month	1	p30493_When_online_sleep_quality_questionnaire_completed
30470	Sleep quality on a typical night in 2019	182214	182214	p30470_Sleep_quality_on_a_typical_night_in_2019_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=213	p30470_Sleep_quality_on_a_typical_night_in_2019	1	p30493_When_online_sleep_quality_questionnaire_completed
30538	Number of nights a week of problematic sleep in the past month	180981	180981	p30538_Number_of_nights_a_week_of_problematic_sleep_in_the_past_month_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=214	p30538_Number_of_nights_a_week_of_problematic_sleep_in_the_past_month	1	p32120_When_online_insomnia_questionnaire_completed
30539	Sleep quality in the past month	180981	180981	p30539_Sleep_quality_in_the_past_month_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=215	p30539_Sleep_quality_in_the_past_month	1	p32120_When_online_insomnia_questionnaire_completed
30543	Length of time had a problem with sleep	180981	180981	p30543_Length_of_time_had_a_problem_with_sleep_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=216	p30543_Length_of_time_had_a_problem_with_sleep	1	p32120_When_online_insomnia_questionnaire_completed
30567	Feelings of tiredness after sleep	180201	180201	p30567_Feelings_of_tiredness_after_sleep_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=217	p30567_Feelings_of_tiredness_after_sleep	1	p32122_When_online_sleep_disturbances_questionnaire_completed
30568	Feelings of tiredness during waking time	180201	180201	p30568_Feelings_of_tiredness_during_waking_time_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=218	p30568_Feelings_of_tiredness_during_waking_time	1	p32122_When_online_sleep_disturbances_questionnaire_completed
20197	Number of word pairs correctly associated	74695	83839	p20197_Date_first_reported_lt.10._Number_of_word_pairs_correctly_associated__Instance_2	NA	NA			lt.10%	p53_2
21004	Number of puzzles correct	42529	46489	p21004_Date_first_reported_lt.10._Number_of_puzzles_correct__Instance_2	NA	NA			lt.10%	p53_2
22032	IPAQ activity group	394296	466874	p22032_Date_first_reported_gt.1_IPAQ_activity_group_._Instance_0	NA	NA			gt.1	p53_0
22032	IPAQ activity group	394296	466874	p22032_Date_first_reported_gt.1_IPAQ_activity_group_._Instance_1	NA	NA			gt.1	p53_1
22032	IPAQ activity group	394296	466874	p22032_Date_first_reported_gt.1_IPAQ_activity_group_._Instance_2	NA	NA			gt.1	p53_2
22036	At or above moderate/vigorous/walking recommendation	394296	466874	p22036_Date_first_reported_1_At_or_above_moderate.vigorous.walking_recommendation_._Instance_0	NA	NA			1	p53_0
22036	At or above moderate/vigorous/walking recommendation	394296	466874	p22036_Date_first_reported_1_At_or_above_moderate.vigorous.walking_recommendation_._Instance_1	NA	NA			1	p53_1
22036	At or above moderate/vigorous/walking recommendation	394296	466874	p22036_Date_first_reported_1_At_or_above_moderate.vigorous.walking_recommendation_._Instance_2	NA	NA			1	p53_2
22040	Summed MET minutes per week for all activity	394296	466874	p22040_Date_first_reported_gt.90._Summed_MET_minutes_per_week_for_all_activity_._Instance_0	NA	NA			gt.90%	p53_0
22040	Summed MET minutes per week for all activity	394296	466874	p22040_Date_first_reported_gt.90._Summed_MET_minutes_per_week_for_all_activity_._Instance_1	NA	NA			gt.90%	p53_1
22040	Summed MET minutes per week for all activity	394296	466874	p22040_Date_first_reported_gt.90._Summed_MET_minutes_per_week_for_all_activity_._Instance_2	NA	NA			gt.90%	p53_2
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a0_Very_nervous_mood_over_last_week_._Instance_0_._Array_0	NA	NA			gt.2	p53_0
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a1_Very_nervous_mood_over_last_week_._Instance_0_._Array_1	NA	NA			gt.2	p53_0
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a2_Very_nervous_mood_over_last_week_._Instance_0_._Array_2	NA	NA			gt.2	p53_0
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a3_Very_nervous_mood_over_last_week_._Instance_0_._Array_3	NA	NA			gt.2	p53_0
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a0_Very_nervous_mood_over_last_week_._Instance_1_._Array_0	NA	NA			gt.2	p53_1
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a1_Very_nervous_mood_over_last_week_._Instance_1_._Array_1	NA	NA			gt.2	p53_1
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a2_Very_nervous_mood_over_last_week_._Instance_1_._Array_2	NA	NA			gt.2	p53_1
23045	Very nervous mood over last week	211849	304035	p23045_Date_first_reported_gt.2_a3_Very_nervous_mood_over_last_week_._Instance_1_._Array_3	NA	NA			gt.2	p53_1
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a0_Down_in_dumps_over_last_week_._Instance_0_._Array_0	NA	NA			gt.2	p53_0
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a1_Down_in_dumps_over_last_week_._Instance_0_._Array_1	NA	NA			gt.2	p53_0
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a2_Down_in_dumps_over_last_week_._Instance_0_._Array_2	NA	NA			gt.2	p53_0
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a3_Down_in_dumps_over_last_week_._Instance_0_._Array_3	NA	NA			gt.2	p53_0
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a0_Down_in_dumps_over_last_week_._Instance_1_._Array_0	NA	NA			gt.2	p53_1
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a1_Down_in_dumps_over_last_week_._Instance_1_._Array_1	NA	NA			gt.2	p53_1
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a2_Down_in_dumps_over_last_week_._Instance_1_._Array_2	NA	NA			gt.2	p53_1
23046	Down in dumps over last week	211849	304035	p23046_Date_first_reported_gt.2_a3_Down_in_dumps_over_last_week_._Instance_1_._Array_3	NA	NA			gt.2	p53_1
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a0_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_0	NA	NA			gt.2	p53_0
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a1_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_1	NA	NA			gt.2	p53_0
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a2_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_2	NA	NA			gt.2	p53_0
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a3_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_3	NA	NA			gt.2	p53_0
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a0_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_0	NA	NA			gt.2	p53_1
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a1_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_1	NA	NA			gt.2	p53_1
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a2_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_2	NA	NA			gt.2	p53_1
23072	Downhearted and depressed over last week	211849	304035	p23072_Date_first_reported_gt.2_a3_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_3	NA	NA			gt.2	p53_1
23323	Number of symbol digit matches attempted	74074	83095	p23323_Date_first_reported_lt.10._Number_of_symbol_digit_matches_attempted__Instance_2	NA	NA			lt.10%	p53_2
23324	Number of symbol digit matches made correctly	74074	83095	p23324_Date_first_reported_lt.10._Number_of_symbol_digit_matches_made_correctly__Instance_2	NA	NA			lt.10%	p53_2
26302	Specific cognitive ability (AS)	34897	38835	p26302_Date_first_reported_lt.10._Specific_cognitive_ability_AS__Instance_2	NA	NA			lt.10%	p53_2
31040	Plasma Amyloid beta-40	1273	2535	p31040_Date_first_reported_gt.90._Plasma_Amyloid_beta40_._Instance_2	NA	NA			gt.90%	p53_2
31041	Plasma Amyloid beta-42	1273	2536	p31041_Date_first_reported_gt.90._Plasma_Amyloid_beta42_._Instance_2	NA	NA			gt.90%	p53_2
31042	Plasma Glial fibrillary acidic protein	1273	2539	p31042_Date_first_reported_gt.90._Plasma_Glial_fibrillary_acidic_protein_._Instance_2	NA	NA			gt.90%	p53_2
31044	Plasma pTau-181	1273	2531	p31044_Date_first_reported_gt.90._Plasma_pTau181_._Instance_2	NA	NA			gt.90%	p53_2
100001	Biological sampling			p100001_Date_first_reported_lt.10._Food_weight_._Instance_0	NA	NA			lt.10%	p53_0
100001	Biological sampling			p100001_Date_first_reported_lt.10._Food_weight_._Instance_1	NA	NA			lt.10%	p53_1
100001	Biological sampling			p100001_Date_first_reported_lt.10._Food_weight_._Instance_2	NA	NA			lt.10%	p53_2
