Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	new_col_name	link	value_to_detect	date_col	field_category
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_2		lt.10%	p53_i2	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_2		lt.10%	p53_i2	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_2		lt.10%	p53_i2	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_0		lt.10%	p53_i0	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_0		lt.10%	p53_i0	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_0		lt.10%	p53_i0	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_1		lt.10%	p53_i1	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_1		lt.10%	p53_i1	Assessment centre:Touchscreen:Sociodemographics
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_1		lt.10%	p53_i1	Assessment centre:Touchscreen:Sociodemographics
845	Age completed full time education	337215	354154					NA
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_1		gt.90%	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_1		gt.90%	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_1		gt.90%	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_0		gt.90%	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_0		gt.90%	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_0		gt.90%	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_2		gt.90%	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_2		gt.90%	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_2		gt.90%	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_1		gt.2	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_1		gt.2	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_1		gt.2	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_2		gt.2	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_2		gt.2	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_2		gt.2	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_0		gt.2	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_0		gt.2	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_0		gt.2	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_2		gt.2	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_2		gt.2	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_2		gt.2	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_0		gt.2	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_0		gt.2	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_0		gt.2	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_1		gt.2	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_1		gt.2	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1220	Daytime dozing / sleeping	501292	624060	p1220_Date_first_reported_gt.2_Daytime_dozing_._sleeping_._Instance_1		gt.2	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1358	Broken letter recognition							NA
1500	Mental well-being							NA
1501	Mental health							NA
1502	Depression							NA
1503	Mood changes							NA
1504	Anxiety and panic							NA
1506	Alcohol use							NA
1508	Harm behaviours							NA
1510	General health							NA
1512	Social situation							NA
1513	General well-being							NA
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_1		lt.3	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_1		lt.3	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_1		lt.3	p53_i1	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_0		lt.3	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_0		lt.3	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_0		lt.3	p53_i0	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_2		lt.3	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_2		lt.3	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1558	Alcohol intake frequency	501286	624055	p1558_Date_first_reported_lt.3_Alcohol_intake_frequency_._Instance_2		lt.3	p53_i2	Assessment centre:Touchscreen:Lifestyle and environment
1712	First occurrences							NA
1807	Fathers age at death	395775	485504			NA				
2000	Hospital inpatient					NA				
2002	Summary Diagnoses					NA				
2050	Frequency of depressed mood in last 2 weeks	501276	624045			NA				
2090	Seen doctor (GP) for nerves	anxiety	tension or depression	501272	624041	NA				
2100	Seen a psychiatrist for nerves	anxiety	tension or depression	501272	624041	NA				
2178	Overall health rating	501265	624034	p2178_Date_first_reported_gt.4_Overall_health_rating_._Instance_0		NA			gt.4	p53_i0
2178	Overall health rating	501265	624034	p2178_Date_first_reported_gt.4_Overall_health_rating_._Instance_1		NA			gt.4	p53_i1
2178	Overall health rating	501265	624034	p2178_Date_first_reported_gt.4_Overall_health_rating_._Instance_2		NA			gt.4	p53_i2
2296	Falls in the last year	501263	624032	p2296_Date_first_reported_gt.90._Falls_in_the_last_year_._Instance_0		NA			gt.90%	p53_i0
2296	Falls in the last year	501263	624032	p2296_Date_first_reported_gt.90._Falls_in_the_last_year_._Instance_1		NA			gt.90%	p53_i1
2296	Falls in the last year	501263	624032	p2296_Date_first_reported_gt.90._Falls_in_the_last_year_._Instance_2		NA			gt.90%	p53_i2
2405	Mental and behavioural disorders			p2405_Date_first_reported_gt.0_Number_of_children_fathered_._Instance_0		NA			gt.0	p53_i0
2405	Mental and behavioural disorders			p2405_Date_first_reported_gt.0_Number_of_children_fathered_._Instance_1		NA			gt.0	p53_i1
2405	Mental and behavioural disorders			p2405_Date_first_reported_gt.0_Number_of_children_fathered_._Instance_2		NA			gt.0	p53_i2
2406	Nervous system disorders					NA				
3000	Primary care					NA				
3001	Record-level access					NA				
3526	Mothers age at death	324093	392787					NA
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_2		lt.10%	p53_i2	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_2		lt.10%	p53_i2	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_2		lt.10%	p53_i2	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_1		lt.10%	p53_i1	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_1		lt.10%	p53_i1	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_1		lt.10%	p53_i1	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_0		lt.10%	p53_i0	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_0		lt.10%	p53_i0	Assessment centre:Cognitive function:Numeric memory
4282	Maximum digits remembered correctly	91249	100054	p4282_Date_first_reported_lt.10._Maximum_digits_remembered_correctly__Instance_0		lt.10%	p53_i0	Assessment centre:Cognitive function:Numeric memory
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_2		gt.3	p53_i2	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_2		gt.3	p53_i2	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_2		gt.3	p53_i2	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_1		gt.3	p53_i1	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_1		gt.3	p53_i1	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_1		gt.3	p53_i1	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_0		gt.3	p53_i0	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_0		gt.3	p53_i0	Assessment centre:Touchscreen:Psychosocial factors
4526	Happiness	240523	295379	p4526_Date_first_reported_gt.3_Happiness_._Instance_0		gt.3	p53_i0	Assessment centre:Touchscreen:Psychosocial factors
6138	Qualifications	498734	1145929					NA
6142				unemployed_due_to_sickness_i2		4	p53_i2	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i2		4	p53_i2	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i2		4	p53_i2	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i2		4	p53_i2	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i3		4	p53_i3	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i3		4	p53_i3	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i3		4	p53_i3	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i3		4	p53_i3	Assessment centre:Touchscreen:Sociodemographics
6142	Current employment status	501312	681721					Assessment centre:Touchscreen:Sociodemographics
6142	Current employment status	501312	681721					Assessment centre:Touchscreen:Sociodemographics
6142	Current employment status	501312	681721					Assessment centre:Touchscreen:Sociodemographics
6142	Current employment status	501312	681721					Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i0		4	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i0		4	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i0		4	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i0		4	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i1		4	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i1		4	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i1		4	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6142				unemployed_due_to_sickness_i1		4	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_2		equal to ""2 3""	p53_i2	Assessment centre:Touchscreen:Sociodemographics
