column value_to_detect new_col date_col
p29169_Current_situation 1 p29169_Current_situation_dated p20400_Date_of_completing_mental_health_questionnaire
p28737_Little_interest_or_pleasure_in_doing_things_over_the_last_2_weeks 1 p28737_Little_interest_or_pleasure_in_doing_things_over_the_last_2_weeks_dated p20400_Date_of_completing_mental_health_questionnaire
p28743_Difficulty_with_being_emotionally_affected_by_health_problems 1 p28743_Difficulty_with_being_emotionally_affected_by_health_problems_dated p20400_Date_of_completing_mental_health_questionnaire
p28687_Currently_suffering_from_difficulty_sleeping 1 p28687_Currently_suffering_from_difficulty_sleeping_dated p20400_Date_of_completing_mental_health_questionnaire
p28693_Currently_suffering_from_unrestful_sleep 1 p28693_Currently_suffering_from_unrestful_sleep_dated p20400_Date_of_completing_mental_health_questionnaire
p28729_Currently_suffering_from_weakness_of_muscles_or_difficulty_moving_arms_and_legs 1 p28729_Currently_suffering_from_weakness_of_muscles_or_difficulty_moving_arms_and_legs_dated p20400_Date_of_completing_mental_health_questionnaire
p30426_Tiredness_after_waking 1 p30426_Tiredness_after_waking_dated p20400_Date_of_completing_mental_health_questionnaire
p30467_Overall_quality_of_sleep_in_past_month 1 p30467_Overall_quality_of_sleep_in_past_month_dated p20400_Date_of_completing_mental_health_questionnaire
p30470_Sleep_quality_on_a_typical_night_in_2019 1 p30470_Sleep_quality_on_a_typical_night_in_2019_dated p20400_Date_of_completing_mental_health_questionnaire
p30543_Length_of_time_had_a_problem_with_sleep 1 p30543_Length_of_time_had_a_problem_with_sleep_dated p20400_Date_of_completing_mental_health_questionnaire
p30538_Number_of_nights_a_week_of_problematic_sleep_in_the_past_month 1 p30538_Number_of_nights_a_week_of_problematic_sleep_in_the_past_month_dated p20400_Date_of_completing_mental_health_questionnaire
p30539_Sleep_quality_in_the_past_month 1 p30539_Sleep_quality_in_the_past_month_dated p20400_Date_of_completing_mental_health_questionnaire
p30567_Feelings_of_tiredness_after_sleep 1 p30567_Feelings_of_tiredness_after_sleep_dated p20400_Date_of_completing_mental_health_questionnaire
